city,city_ascii,state_id,state_name,county_name,lat,lng
Bourbon,Bourbon,IN,Indiana,Marshall,41.2993,-86.1167
Fairmount,Fairmount,TN,Tennessee,Hamilton,35.1865,-85.3303
Lagunitas-Forest Knolls,Lagunitas-Forest Knolls,CA,California,Marin,38.018,-122.6912
Village of the Branch,Village of the Branch,NY,New York,Suffolk,40.8523,-73.1844
Munfordville,Munfordville,KY,Kentucky,Hart,37.2795,-85.8982
Aptos Hills-Larkin Valley,Aptos Hills-Larkin Valley,CA,California,Santa Cruz,36.9606,-121.834
Shortsville,Shortsville,NY,New York,Ontario,42.9556,-77.2227
Lake City,Lake City,IA,Iowa,Calhoun,42.2677,-94.7311
Altamont,Altamont,NY,New York,Albany,42.7056,-74.034
Meridian Hills,Meridian Hills,IN,Indiana,Marion,39.8874,-86.1567
Florala,Florala,AL,Alabama,Covington,31.0176,-86.3138
Little Walnut Village,Little Walnut Village,NM,New Mexico,Grant,32.8257,-108.2811
Oakley,Oakley,UT,Utah,Summit,40.7257,-111.2788
Sneads,Sneads,FL,Florida,Jackson,30.7085,-84.9249
Exmore,Exmore,VA,Virginia,Northampton,37.5295,-75.8283
Santa Clara,Santa Clara,NM,New Mexico,Grant,32.7801,-108.1493
El Valle de Arroyo Seco,El Valle de Arroyo Seco,NM,New Mexico,Santa Fe,35.9526,-106.026
Harbor Beach,Harbor Beach,MI,Michigan,Huron,43.8451,-82.6563
Hawkins,Hawkins,TX,Texas,Wood,32.5917,-95.2027
Munford,Munford,AL,Alabama,Talladega,33.5258,-85.9555
Weston,Weston,MO,Missouri,Platte,39.4032,-94.8862
Baidland,Baidland,PA,Pennsylvania,Washington,40.1888,-79.9549
Mona,Mona,UT,Utah,Juab,39.8121,-111.8495
Rosepine,Rosepine,LA,Louisiana,Vernon,30.9208,-93.2857
North Vacherie,North Vacherie,LA,Louisiana,St. James,30.0048,-90.7109
Glenwood,Glenwood,AR,Arkansas,Pike,34.3278,-93.5308
Evart,Evart,MI,Michigan,Osceola,43.9003,-85.2751
Stateburg,Stateburg,SC,South Carolina,Sumter,33.9752,-80.5263
Swedeland,Swedeland,PA,Pennsylvania,Montgomery,40.0882,-75.3325
Desoto Lakes,Desoto Lakes,FL,Florida,Sarasota,27.3781,-82.4951
McCrory,McCrory,AR,Arkansas,Woodruff,35.2573,-91.1972
Hopkins,Hopkins,SC,South Carolina,Richland,33.8983,-80.8599
Parkersburg,Parkersburg,IA,Iowa,Butler,42.5739,-92.7785
Hazen,Hazen,AR,Arkansas,Prairie,34.7964,-91.5714
Dillsboro,Dillsboro,IN,Indiana,Dearborn,39.0184,-85.0531
Yosemite Valley,Yosemite Valley,CA,California,Mariposa,37.7407,-119.5779
Atlantic Beach,Atlantic Beach,NC,North Carolina,Carteret,34.7011,-76.7403
Lyman,Lyman,WY,Wyoming,Uinta,41.3274,-110.2977
Carter,Carter,TX,Texas,Parker,32.9139,-97.7343
Baird,Baird,TX,Texas,Callahan,32.396,-99.3963
Durand,Durand,WI,Wisconsin,Pepin,44.627,-91.9607
Painted Post,Painted Post,NY,New York,Steuben,42.1634,-77.0925
Cottonport,Cottonport,LA,Louisiana,Avoyelles,30.9892,-92.0509
